track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,popular,loudness,playlist_genre,track_id,duration_ms,released_date
cardigan,Taylor Swift,1,2020,7,24,812019557,130,,0,0.61,0.53,0.58,0.55,0,0.27,0.04,1,,,,,7/24/20
TÔøΩÔø,"dennis, MC Kevin o Chris",2,2023,5,4,111947664,130,B,1,0.86,0.59,0.96,0.5,0.01,0.09,0.05,1,,,,,5/4/23
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,156338624,133,F,1,0.7,0.86,0.81,0.25,0,0.25,0.05,1,,,,,2/3/23
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,720434240,101,D,1,0.88,0.72,0.59,0.62,0,0.09,0.03,1,,,,,6/24/22
BESO,"Rauw Alejandro, ROSALÔøΩ",2,2023,3,24,357925728,95,F,0,0.77,0.53,0.64,0.74,0,0.17,0.14,1,,,,,3/24/23
Hey Mor,"Ozuna, Feid",2,2022,10,6,674072710,98,C♯/D♭,0,0.9,0.4,0.59,0,0,0.1,0.29,1,,,,,10/6/22
Karma,Taylor Swift,1,2022,10,21,404562836,90,G♯/A♭,1,0.64,0.1,0.62,0.07,0,0.48,0.07,1,,,,,10/21/22
People,Libianca,1,2022,12,2,373199958,198,A♯/B♭,0,0.59,0.71,0.42,0.55,0,0.1,0.07,1,,,,,12/2/22
Overdrive,Post Malone,1,2023,7,14,14780425,140,C♯/D♭,1,0.56,0.48,0.73,0,0,0.35,0.04,1,,,,,7/14/23
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,39578178,82,G♯/A♭,1,0.51,0.22,0.53,0.01,0,0.15,0.03,1,,,,,7/7/23
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,54266102,130,C♯/D♭,0,0.77,0.84,0.89,0.17,0,0.43,0.05,1,,,,,6/23/23
Heat Waves,Glass Animals,1,2020,6,28,2557975762,81,B,1,0.76,0.53,0.53,0.44,0,0.09,0.09,1,,,,,6/28/20
golden hour,JVKE,1,2022,7,15,751134527,94,C♯/D♭,0,0.51,0.14,0.59,0.65,0.18,0.25,0.03,1,,,,,7/15/22
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,1356565093,128,D,1,0.62,0.55,0.78,0.01,0.03,0.23,0.04,1,,,,,7/6/22
Here With Me,d4vd,1,2022,7,17,635412045,132,E,1,0.58,0.27,0.48,0.5,0,0.12,0.03,1,,,,,7/17/22
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,1230675890,131,D,1,0.71,0.24,0.47,0.01,0,0.27,0.09,1,,,,,9/22/22
Yandel 150,"Yandel, Feid",2,2022,12,20,585695368,168,F♯/G♭,0,0.78,0.58,0.73,0.05,0,0.1,0.07,1,,,,,12/20/22
CORAZÔøΩÔøΩN VA,Maria Becerra,1,2023,6,22,43857627,98,C♯/D♭,1,0.68,0.4,0.79,0.33,0,0.3,0.06,1,,,,,6/22/23
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,600976848,101,A♯/B♭,1,0.34,0.32,0.57,0.78,0,0.2,0.03,1,,,,,4/22/22
Novidade na ÔøΩÔø,"Mc Livinho, DJ Matt D",2,2023,6,23,39709092,130,F,1,0.63,0.36,0.34,0.76,0,0.35,0.09,1,,,,,6/23/23
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,39228929,142,D,1,0.5,0.2,0.64,0.01,0,0.12,0.03,1,,,,,7/7/23
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,2665343922,170,C♯/D♭,1,0.59,0.48,0.76,0.04,0,0.1,0.05,1,,,,,7/9/21
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,223633238,124,G♯/A♭,0,0.78,0.7,0.68,0.03,0.01,0.11,0.04,1,,,,,3/3/23
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,1440757818,92,C♯/D♭,0,0.91,0.43,0.71,0.09,0,0.09,0.08,1,,,,,5/6/22
Fast Car,Luke Combs,1,2023,3,24,157058870,98,G♯/A♭,1,0.71,0.67,0.6,0.19,0,0.12,0.03,1,,,,,3/24/23
What It Is (Solo Version),Doechii,1,2023,3,17,95131998,172,C♯/D♭,0,0.74,0.76,0.76,0.06,0,0.1,0.09,1,,,,,3/17/23
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,250305248,150,D,1,0.68,0.14,0.76,0.04,0,0.1,0.04,1,,,,,3/17/23
Still With You,Jung Kook,1,2020,6,5,38411956,88,C♯/D♭,0,0.53,0.34,0.47,0.09,0,0.83,0.04,1,,,,,6/5/20
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,144565150,143,D♯/E♭,1,0.83,0.69,0.44,0.15,0,0.1,0.33,1,,,,,5/12/23
